City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Discription
143,Yaan,NG,7.38,8.57,70.16,99,98,2.35,overcast clouds
144,Mogadishu,SO,2.04,45.34,77.0,69,40,17.22,scattered clouds
145,Vardo,NO,70.37,31.11,54.73,85,74,17.09,broken clouds
146,Aasiaat,GL,68.71,-52.87,35.94,84,16,2.1,few clouds
147,Cherskiy,RU,68.75,161.3,40.95,86,100,17.36,light rain
148,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,73.44,86,43,8.5,scattered clouds
149,Chichica,PA,8.49,-82.16,63.0,100,100,1.19,overcast clouds
150,Silivri,TR,41.08,28.23,71.6,56,0,13.87,clear sky
151,Khatanga,RU,71.97,102.5,57.0,48,0,15.57,clear sky
152,Koraput,IN,18.82,82.72,77.2,77,64,13.33,broken clouds
153,Tasiilaq,GL,65.61,-37.64,48.2,68,0,9.17,clear sky
154,Victoria,HK,22.29,114.16,91.0,74,20,10.29,few clouds
155,Olafsvik,IS,64.89,-23.71,50.14,64,0,9.86,clear sky
156,Esperance,AU,-33.87,121.9,57.2,82,100,10.29,overcast clouds
157,Egvekinot,RU,66.32,-179.17,46.54,99,100,10.18,moderate rain
158,Lagoa,PT,39.05,-27.98,69.24,66,0,3.24,clear sky
159,Pandegelang,ID,-6.31,106.11,91.4,55,40,12.75,scattered clouds
160,Torbay,CA,47.67,-52.73,62.01,87,90,11.41,light intensity shower rain
161,Taltal,CL,-25.4,-70.48,54.23,72,16,1.97,few clouds
162,San Cristobal,VE,7.77,-72.22,67.59,93,100,1.68,light rain
163,Acapulco,MX,16.86,-99.89,80.94,80,100,3.47,light rain
164,Bengkulu,ID,-3.8,102.27,86.04,61,7,5.26,clear sky
165,Newport,GB,51.59,-3.0,61.0,94,60,3.0,light rain
166,Okhotsk,RU,59.38,143.3,60.78,50,74,6.78,broken clouds
167,Chitungwiza,ZW,-18.01,31.08,52.0,89,14,9.33,few clouds
168,Mathbaria,BD,22.29,89.96,79.84,91,100,11.39,moderate rain
169,Thompson,CA,55.74,-97.86,51.8,76,75,6.93,broken clouds
170,Vikesa,NO,58.64,6.09,61.0,89,97,3.0,light rain
171,Aklavik,CA,68.22,-135.01,62.6,55,20,9.17,few clouds
