City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,Chuy,-33.7,-53.46,38.89,75,0,7.34,UY,2020-08-21 01:16:19
190,Kavieng,-2.57,150.8,84.09,72,51,7.99,PG,2020-08-21 01:16:19
191,Puerto El Triunfo,13.28,-88.55,82.4,88,20,2.24,SV,2020-08-21 01:16:19
192,Petropavlovsk-Kamchatskiy,53.05,158.65,62.6,67,75,2.24,RU,2020-08-21 01:14:34
193,Airai,-8.93,125.41,74.68,23,0,4.79,TL,2020-08-21 01:16:20
194,Bathsheba,13.22,-59.52,80.6,88,75,10.29,BB,2020-08-21 01:14:00
195,Cabedelo,-6.98,-34.83,75.2,94,75,9.17,BR,2020-08-21 01:14:44
196,Raton,36.9,-104.44,69.8,46,90,23.04,US,2020-08-21 01:16:21
197,Milkovo,54.72,158.62,59.0,66,83,9.73,RU,2020-08-21 01:16:21
198,Chokurdakh,70.63,147.92,40.28,71,93,3.6,RU,2020-08-21 01:14:02
199,Porgera,-5.47,143.2,55.89,62,11,3.18,PG,2020-08-21 01:16:21
200,Capaci,38.17,13.24,80.01,78,0,3.36,IT,2020-08-21 01:16:22
201,Fairbanks,64.84,-147.72,72.0,60,75,3.36,US,2020-08-21 01:14:10
202,Leninskoye,47.94,132.62,67.91,64,0,6.04,RU,2020-08-21 01:16:22
203,Souillac,-20.52,57.52,64.4,82,20,6.93,MU,2020-08-21 01:16:22
204,Kahului,20.89,-156.47,87.8,52,40,20.8,US,2020-08-21 01:14:20
205,Cururupu,-1.83,-44.87,75.07,89,0,3.91,BR,2020-08-21 01:16:02
206,Nyazepetrovsk,56.05,59.6,52.11,96,100,9.37,RU,2020-08-21 01:16:23
207,Boa Vista,2.82,-60.67,86.0,66,23,6.93,BR,2020-08-21 01:15:11
208,Tarauaca,-8.16,-70.77,81.36,64,34,1.28,BR,2020-08-21 01:16:23
209,Utete,-7.99,38.76,68.27,93,39,1.25,TZ,2020-08-21 01:16:23
210,Olinda,-8.01,-34.86,75.2,94,75,10.29,BR,2020-08-21 01:12:00
211,Naze,28.37,129.48,87.8,74,40,4.7,JP,2020-08-21 01:16:24
212,Yellowknife,62.46,-114.35,59.0,51,20,3.36,CA,2020-08-21 01:14:09
213,Nemuro,43.32,145.57,68.0,64,75,2.24,JP,2020-08-21 01:16:24
214,Kibara,-2.15,33.45,68.0,88,75,4.63,TZ,2020-08-21 01:16:24
215,Burnie,-41.07,145.92,45.0,84,100,11.99,AU,2020-08-21 01:16:24
216,Lagoa,39.05,-27.98,69.19,80,62,15.99,PT,2020-08-21 01:14:29
217,Igrim,63.19,64.42,51.28,96,64,6.22,RU,2020-08-21 01:16:25
218,Itabira,-19.62,-43.23,73.4,69,50,13.87,BR,2020-08-21 01:15:12
219,Mikkeli,61.69,27.27,55.0,100,5,3.27,FI,2020-08-21 01:16:26
220,Capoterra,39.18,8.97,75.2,78,0,3.36,IT,2020-08-21 01:16:26
221,Lata,40.16,-8.33,66.0,99,29,1.32,PT,2020-08-21 01:14:52
222,Vestmannaeyjar,63.44,-20.27,48.83,79,100,7.76,IS,2020-08-21 01:14:11
223,Odweyne,9.41,45.06,73.04,64,7,15.86,SO,2020-08-21 01:16:26
224,Starosubkhangulovo,53.1,57.44,51.42,90,100,5.46,RU,2020-08-21 01:16:26
225,Ucluelet,48.93,-125.55,59.0,100,90,21.92,CA,2020-08-21 01:13:16
226,Mizdah,31.45,12.98,71.04,78,0,6.67,LY,2020-08-21 01:16:27
227,Havre-Saint-Pierre,50.23,-63.6,57.92,63,0,8.21,CA,2020-08-21 01:16:27
228,Mildura,-34.2,142.15,50.0,93,75,11.41,AU,2020-08-21 01:14:59
229,Yatou,37.15,122.38,70.79,89,100,7.43,CN,2020-08-21 01:14:59
230,Mar Del Plata,-38.0,-57.56,48.0,60,0,9.17,AR,2020-08-21 01:12:52
231,Myitkyina,25.38,97.4,76.66,93,90,0.74,MM,2020-08-21 01:16:28
232,Bilibino,68.05,166.44,42.87,84,100,4.52,RU,2020-08-21 01:14:19
233,Cabo San Lucas,22.89,-109.91,81.0,94,90,8.05,MX,2020-08-21 01:16:28
234,Sol-Iletsk,51.16,54.99,52.92,77,0,6.38,RU,2020-08-21 01:16:28
235,Necochea,-38.55,-58.74,39.99,68,0,5.01,AR,2020-08-21 01:14:32
236,Atuntaqui,0.33,-78.22,59.0,87,75,11.41,EC,2020-08-21 01:16:29
237,Khasan,42.43,130.64,68.61,54,100,2.73,RU,2020-08-21 01:16:29
238,Lewistown,40.6,-77.57,71.01,64,1,2.75,US,2020-08-21 01:16:29
239,Makakilo City,21.35,-158.09,89.6,52,40,12.75,US,2020-08-21 01:15:40
240,Kungurtug,50.6,97.52,55.67,85,100,2.01,RU,2020-08-21 01:14:56
241,Rawson,-43.3,-65.1,52.41,48,0,5.39,AR,2020-08-21 01:12:24
242,Ankazobe,-18.32,47.12,50.0,93,40,4.7,MG,2020-08-21 01:16:30
243,Chunskiy,56.08,99.63,64.76,63,100,1.59,RU,2020-08-21 01:16:30
244,Saint Anthony,45.02,-93.22,80.6,57,1,10.29,US,2020-08-21 01:16:31
245,Burgeo,47.62,-57.62,59.59,84,0,16.28,CA,2020-08-21 01:16:31
246,Hamilton,39.18,-84.53,75.2,60,1,3.36,US,2020-08-21 01:13:12
247,Kokopo,-4.35,152.26,85.05,68,0,12.41,PG,2020-08-21 01:16:31
248,Narsaq,60.92,-46.05,46.4,70,0,5.82,GL,2020-08-21 01:15:24
249,Saint-Joseph,-21.37,55.62,68.0,49,26,10.29,RE,2020-08-21 01:16:32
250,Los Llanos De Aridane,28.66,-17.92,71.6,73,0,6.93,ES,2020-08-21 01:16:32
251,Oeiras Do Para,-2.0,-49.85,77.76,60,0,2.33,BR,2020-08-21 01:16:32
252,Lompoc,34.64,-120.46,68.0,64,90,12.75,US,2020-08-21 01:11:46
253,Barra Patuca,15.8,-84.28,79.75,81,98,4.16,HN,2020-08-21 01:16:33
254,Sept-Iles,50.2,-66.38,63.0,51,20,6.93,CA,2020-08-21 01:15:26
255,Saint-Louis,16.33,-15.0,86.0,74,40,2.24,SN,2020-08-21 01:16:33
256,Pangnirtung,66.15,-65.71,52.9,65,9,3.11,CA,2020-08-21 01:15:10
257,Mayachnyy,52.68,55.69,52.93,89,100,6.22,RU,2020-08-21 01:16:34
258,Guanica,17.97,-66.91,80.01,80,13,6.06,PR,2020-08-21 01:16:34
259,Pedro Juan Caballero,-22.55,-55.73,44.64,91,100,5.88,PY,2020-08-21 01:16:34
260,Oktyabrskoye,43.06,44.74,62.6,93,2,4.47,RU,2020-08-21 01:16:34
261,Pinawa,50.15,-95.88,75.81,62,10,3.62,CA,2020-08-21 01:16:35
262,Plettenberg Bay,-34.05,23.37,55.04,82,16,2.71,ZA,2020-08-21 01:16:35
263,Sao Joao Da Barra,-21.64,-41.05,71.76,76,99,20.62,BR,2020-08-21 01:14:55
264,Launceston,-41.45,147.17,45.0,86,90,17.22,AU,2020-08-21 01:16:35
265,Tanabe,33.73,135.37,89.6,70,20,4.7,JP,2020-08-21 01:16:35
