City_ID,City,Country,Max Temp,Discription,Lat,Lng,Hotel Name
546,Eyl,SO,79.32,scattered clouds,7.98,49.82,Amiin Hotel
548,Goderich,CA,75.0,moderate rain,43.75,-81.72,Harmony Inn
559,Kowary,PL,71.01,moderate rain,50.79,15.84,Hotel Jelenia Struga Medical SPA
566,Monte Alegre,BR,77.81,scattered clouds,-2.01,-54.07,Hotel Shekinah
567,Chambersburg,US,73.99,overcast clouds,39.94,-77.66,Holiday Inn Express & Suites Chambersburg
571,Tshikapa,CD,74.1,overcast clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
573,Pombas,CV,78.8,scattered clouds,17.15,-25.02,POUSADA O RECANTO
574,Clinton,US,75.99,clear sky,42.59,-82.92,River's Edge
579,Tiznit,MA,77.43,clear sky,29.58,-9.5,
581,Erzin,TR,75.0,few clouds,36.96,36.2,Artemis Otel
584,Teguise,ES,73.4,clear sky,29.06,-13.56,B&B La Casona de Nazaret
588,Nandurbar,IN,78.17,light rain,21.37,74.25,Hotel Heera Executive
589,Nouadhibou,MR,77.0,overcast clouds,20.93,-17.03,El Medina
596,Bundaberg,AU,79.0,clear sky,-24.85,152.35,Takalvan Motel
600,Arrifes,PT,71.6,scattered clouds,37.77,-25.7,Hotel Ponta Delgada
601,Mumford,GH,74.19,overcast clouds,5.26,-0.76,Spanish Villa
602,Kaiyuan,CN,79.18,scattered clouds,23.7,103.3,Dongqi Hotel
609,Olga,RU,73.96,clear sky,43.74,135.29,Gostinitsa Rosmorport.
610,Kirensk,RU,76.01,overcast clouds,57.79,108.11,Kirenskiy Plos
616,Santa Rita,BR,71.6,scattered clouds,-7.11,-34.98,Infinity Motel
621,Poum,NC,71.76,clear sky,-20.23,164.02,Gîte kajeon
624,Sindou,BF,72.34,light rain,10.67,-5.17,LERABA HOTEL
625,Les Cayes,HT,79.07,scattered clouds,18.2,-73.75,Villa Orphee
630,Malakal,SS,71.44,overcast clouds,9.53,31.66,Nile Palace Hotel
633,Garowe,SO,75.67,overcast clouds,8.41,48.48,Curubo Hotel
639,Jackson,US,77.0,broken clouds,42.42,-122.83,Agate Village Apartments
641,Mbandaka,CD,71.01,light rain,0.05,18.26,Guest House Epervier
642,Yangambi,CD,70.09,light rain,0.81,24.43,
650,Erba,IT,73.99,clear sky,45.81,9.23,Hotel Leonardo Da Vinci
